	Vibrio_ASV1	Halomonas_ASV1	Vibrio_ASV2	Psychrobium_ASV1	Pseudoalteromonas_ASV1	Vibrio_ASV3	Ruegeria_ASV1	Halodesulfovibrio_ASV1	Vibrio_ASV4	Thalassobius_ASV1	Endozoicomonas_ASV1	Nautella_ASV1	Photobacterium_ASV1	Pseudoalteromonas_ASV2	Endozoicomonas_ASV2	Roseibacillus_ASV1	Halomonas_ASV2	Endozoicomonas_ASV3	Renibacterium_ASV1	Enhydrobacter_ASV1
BS2-2006-DD-O	0.033212011	0.137397634	0.019563239	0.021383076	0.090081893	0.018653321	0	0	0	0	0.036396724	0	0.032757052	0	0.025477707	0	0.08189263	0	0.019563239	0
BS2-2006-HD-O	0	0.122598353	0	0	0.09210125	0.043915828	0.007624276	0	0	0	0.007014334	0	0.066483684	0.021043001	0	0	0.031107045	0	0.038426349	0.000609942
BS2-2019-DD-O	0.172897809	0.185688049	0.064279155	0.006362325	0.14200446	0.023678342	0.010953693	0	0	0	0.007608553	0	0.044929818	0.022563295	0	0	0.088219861	0	0.019677292	0.000393546
BS2-2019-HD-O	0	0.006700828	0	0	0.006700828	0	0	0	0	0	0.012613323	0	0	0	0	0	0	0	0.106424911	0
BS2-2048-DD-O	0.107152283	0.146212721	0.030614938	0.034837688	0.106096595	0	0	0	0	0	0.02665611	0	0.036421219	0.052520454	0	0	0.123779361	0	0.019530219	0
BS2-2048-HD-O	0.027392897	0.162924032	0	0.065297022	0.134416308	0.021978022	0	0	0.016563147	0	0.02325211	0	0.028348463	0.053352445	0.008918618	0	0.01863354	0	0.002548176	0.012103838
BS2-2076-DD-O	0.044435126	0.000279546	0.069054245	0.001130891	0.009015362	0.050407248	0.057167181	2.54E-05	0.0031576	0	0.000374846	0.000158833	0.045273765	0.008564277	0	0	0.000412966	0	0	0
BS2-2076-HD-O	0.205472758	0.015636452	0.128865	0.017400983	0.010478595	0.047479436	0.001520211	0	0.007519613	0	0.00209029	0	0.168824823	0.038629639	0	0	0.001628797	0	0.000705812	0
BS2-2078-DD-O	0.032888889	0	0.032444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041777778	0	0.105777778	0.034222222
BS2-2078-HD-O	0.000495222	0.33460931	0.001365206	0.002556415	0.43847204	0.002556415	0.024921701	0.000240919	0.000361378	0	0.003292556	0	0.001325053	0.114342693	0	0	0.054501164	0	0.002221806	0
BS2-2079-DD-O	0.023783083	0.0031464	0.025818989	0	0.010364612	0	0	0	0	0	0.000647788	0	0	0.022024801	0	0	0	0	0.05330372	0.0015732
BS2-2079-HD-O	0.007099391	0.59809556	0.001633987	0	0.152298851	0	0.005240027	0	0	0	0.001183232	0	0.001408609	0.116858238	0	0	0.0280595	0	0.028566599	0
BS2-2091-DD-O	0.571456993	0.001804781	0.192543083	0.000208426	0.001084763	0.02133999	0.001345296	5.68E-05	0.004864855	0	0.000942654	0.000450011	0.015575114	0.003382187	0	0	0.000492644	0	7.11E-05	0
BS2-2091-HD-O	0	0.446863409	0	0.011288502	0.155297533	0	0.018061603	0	0	0	0.003225286	0	0.009514594	0.040316078	0	0	0.298500242	0	0.004031608	0
BS2-2149-DD-O	0.048813713	0	0.037915768	0	0.039618572	0.016914519	0.019071404	0	0.030763991	0	0.002270405	0	0.055624929	0.065955273	0.020093087	0	0.019411965	0.080939948	0.012260188	0.065614712
BS2-2149-HD-O	0.304894538	0.036776636	0.067468902	0	0.032990806	0.075446187	0.006354786	0	0.007977285	0	0.008788534	0	0.06151974	0.030827474	0	0	0	0	0.003109789	0
BS2-2155-DD-O	0.021776819	0.060319675	0.021586536	0.003425092	0.048775847	0.031227536	0.019303142	0	0.00107827	0	0.00141655	0	0.094507167	0.016829464	0	0	0.008203307	0	0.000338281	0
BS2-2155-HD-O	0.097345133	0.031605563	0.114412137	0	0	0.124525917	0.012010114	0	0	0	0.037926675	0	0.030973451	0.041719343	0	0	0.013906448	0	0.02022756	0
BS2-2179-DD-O	0.001757738	0.248834543	0.017271685	0.023665775	0.184460578	0	0.010266208	0.001452044	0.005578907	0.003642848	0.004203286	0	0.001604891	0.049853522	0	0	0.121156541	0	0.008533945	0.017934021
BS2-2179-HD-O	0.0417234	0.125072943	0.000875316	0.053783311	0.036763276	0.04979576	0.003014978	0	0	0	0.002236919	0	0.091713674	0.025286909	0	0	0.0278156	0	0.006710757	0.000778059
BS2-2180-DD-O	0	0.254657114	0	0.006141249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33408393	0.01801433
BS2-2180-HD-O	0.077730091	0.189794945	0	0.008106819	0.118741059	0.048640916	0.062947067	0	0	0	0	0	0.071053887	0.11349547	0	0	0.051502146	0	0.012398665	0
BS2-2198-DD-O	0	0	0	0	0.018363064	0	0	0	0	0	0	0	0	0	0	0	0.110178384	0	0.198321091	0.100734523
BS2-2415-DD-O	0.114913314	0.003882522	0.10729984	0.009840385	0.000862783	0.24271007	0.016241299	0	0.004582075	0	0.001002693	0	0.047581294	0.003800907	0	0	0.000349777	0	0.000279821	0
BS2-2415-HD-O	0.002289867	0.341016004	0.001592951	0.007466959	0.432088011	0.001319163	0.013739204	0	0	0	0.003459691	0	0.005127312	0.124996889	0	0	0.041964308	0	0.00547577	0
BS2-2433-DD-O	0	0.008476138	0	0	0	0	0	0	0	0	0.001105583	0	0	0	0	0	0.004238069	0	0.088999447	0.007002027
BS2-2433-HD-O	0	0.353542732	0	0	0.321402484	0	0.018626735	0	0	0	0.002921841	0	0	0.050401753	0	0	0.011687363	0	0.065741417	0
BS2-2474-DD-O	0	0.274327628	0	0	0.26601467	0.012713936	0.01809291	0	0	0	0.002444988	0	0	0.306601467	0	0	0.085085575	0	0	0
